,작성일,작성자,제목,내용
299,2019-07-08,UCwIA7HHp4DAuGCRG0O8cSTg,"김제시, 실효성 있는 청년 정책 위한 서포터즈 모집",김제시 실효성 있는 청년 정책 위한 서포터즈 모집
298,2019-07-14,UCLRb0zTJdjRBCEy655Y1_DA,"최정순 청년정책과 주무관 렛츠기릿 feat.대전청년희망통장, 김공무원 인간극장",청년희망통장 최정순주무관 청년정책과 대전공유입니다. 대전청년희망통장 선정자 약정식에 다녀왔습니다. 대전시청년정책 대전청년희망통장 선정자가 매달 15만 원 저축 저축한 만큼 대전시가 1대 1 지원 15만 원 씩 똑같이 저축해줌 3년 만기 후 적립금 1 100만 원 수령
297,2019-07-16,UCn8WFi6pE4cJZP8MiUNGFxg,"문재인 정부 청년정책, 주요 정책 성과와 과제는?",응답자 88 청년에 대한 지원 필요 청년추가고용장려금 소개와 추진성과는 지난해 1월 올해 1분기까지 총 3만 8 330개 기업이 활용 고용부 청년 18만 1 659명 추가 채용 청년내일채움공제 소개와 추진성과는 2년형과 3년형 가입 유형에 따라 납입 금액과 만기공제금 달라져 청년구직활동지원금 내용과 성과 위한 과제는 청년 스타트업 창업 확대 운영 기반은 현재 접수 중인 스타트업 창업지원 분야 사업 146건 청년 맞춤형 전월세 대출 상품 소개와 홍보 전략은 유튜브 청년정책사용설명서 채널 활용 위탁기업은 대기업 중견기업 포함 과 중기업 으로 확대 대출이자 부담 줄이는 제도는 이자 납입 일자 지키지 않으면 정상금리에 3 가산해서 연체이자 부과 대출 최종납입일 연장제도 마이너스 통장이나 분할상환대출은 불가능 일시 2019. 07. 16. 화 16 45 출연 김현우 행복자산관리연구소장 정부가 추진 중인 청년 일자리 관련 프로그램이 청년 구직자들에게 큰 호응을 얻고 있다고 합니다. 실제로 고용노동부도 청년추가고용 장려금 제도 등 문재인 정부 대표적인 청년 정책 추진 이후 고용률과 실업률에서 큰 효과를 거두고 있다고 발표한 바 있는데요. 자세한 내용 라이브를 통해 확인해주세요 문재인정부 청년정책 청년추가고용장려금제도 고용노동부 청년일자리 청년실업 라이브 라이브 채널 신규 오픈 . 구독 바로가기 페이스북 . 4 유튜브 . 7 트위터 . 58 네이버 . . 채널 . 7 7
296,2019-07-19,UCZUPZW5idAxYp-Asj__lVAA,2019 지방정부 청년정책 협력포럼,일 시 2019년 7월 20일 토 13 00 15 00 장 소 다목적홀 내 용 2019 지방정부 청년정책 협력포럼 라이브서울 . . . 서울시 팟캐스트 . . 13364 페이스북 . . 인스타그램 . 트위터 . 카카오스토리 . .
295,2019-07-22,UC8F1gvPqfB1YqP4LW5XLsXA,서울시 박원순시장 지방정부 청년정책 협력포럼 공동실천선언문 국민의소리TV,서울시가 지방정부 청년과 함께 공동 협력 체계를 구축하는 2019 지방정부 청년정책 협력포럼 을 개최한다. 오는 7월 20일 오후 1시 6시 서울시청 8층 다목적홀에서 개최되는 포럼은 청년과 지역이 함께 여는 미래 라는 슬로건으로 대한민국시도지사협의회 협회장 박원순 가 주최하고 서울특별시와 전국청년정책네트워크가 공동 주관한다. 이날 서울특별시를 비롯 17개 광역시도와 20개 기초자치단체가 함께 한 지방정부 청년 공동 실천 선언문 이 선포된다. 행사에는 중앙정부 및 지방정부 청년정책 담당 공무원 100여명과 전국 각지 청년단체 대표 및 청년 당사자 300여명이 참석할 예정이며 청년정책에 관심 있는 사람이라면 누구나 참가할 수 있다. 온라인 사전신청 당일 현장접수도 가능 포럼의 메인세션 13 15시 은 청년문제의 현황과 미래과제와 관련된 기조강연과 시도지사 및 청년 대표들의 공동대담 공동실천선언문 선포로 진행된다. 이어지는 서브세션 15시30분 18시 은 청년들과 청년정책 담당 공무원들 대상으로 각각 협력회의가 진행된다. 청년정책 발전사를 보여주는 기획전시 12 18시 도 행사장에 열릴 예정이다. 서울시는 지난 3월 31일 청년자치정부를 출범 서울시 청년정책의 새로운 추진체계를 구축하고 민관협력을 통한 청년문제 해결을 선도해나가고 있다. 박원순 서울시장은 한국사회 혁신과 미래의 다른 이름이 청년정책이다. 그동안 청년정책을 견인해온 지방정부가 이제 다른 차원의 연대와 협력을 통해 문제를 풀어나가야 할 시점 이라며 이번 포럼에서는 문제해결을 선도해온 지자체장들과 청년이 대담을 벌인다. 한국사회 새로운 변화에 대한 논의의 계기가 될 것 이라고 말했다.
294,2019-08-02,UCK2JegInDWoDtwEpjh4HzLg,[정책시그널] 제주청년 걱정 뚝! ｜ 1편 제주청년정책,제주청년을 위한 모든 정책 여기에 다 있다 제주에선 청년 모두 모든걱정 뚝 제주특별자치도 정책시그널 제주청년
293,2019-08-05,UCV9gIwasozKlwz5U2Sa2q6g,"""청년 없는 청년 정책, 실효성 떨어져..""｜국회 계류중인 청년 기본법, 내용과 논의 상황은?｜이명수 자유한국당 의원｜시사자키 정관용입니다",청년 청년정책 청년기본법 청년 없는 청년 정책 실효성 떨어져.. 국회 계류중인 청년 기본법 내용과 논의 상황은 계류법안 심폐소생 이명수 자유한국당 의원 시사자키 정관용입니다
292,2019-08-16,UClAfLVQYZSLrMAQQ_SXPVZw,"[녹화중계] 경기도 청년 토론회 ""청년정책, 속 시원하게 뒤집기""",15 45 경기도 청년 토론회 청년정책 속 시원하게 뒤집기 경기도 청년 토론회 정책 고민 답변 김용 경기도대변인 한선지 아나운서 매월 1만원 자발적 시청료 내기 10만인클럽 010 3270 3828
291,2019-08-16,UClAfLVQYZSLrMAQQ_SXPVZw,"경기도 청년 토론회 ""이재명식 청년정책, 속 시원하게 뒤집기!""",14일 오전 경기도 수원시에서 경기도 청년 토론회가 열렸다. 이 토론회에는 김용 경기도 대변인 한선지 경기도청방송국 주무관과 4명의 청년대표가 참석해 취업 과 일자리 결혼 등 다양한 청년 정책에 대한 토론이 진행됐다. 위 영상은 경기도 청년 토론회 전체를 담고 있다. 촬영 조성진 박용근 연출 편집 홍성민 기자 주최 주관 오마이뉴스
290,2019-08-21,UClAfLVQYZSLrMAQQ_SXPVZw,"[요약 영상] 경기도 청년 토론회 ""이재명식 청년정책, 속 시원하게 뒤집기!""",14일 오전 경기도 수원시에서 경기도 청년 토론회가 열렸다. 이 토론회에는 김용 경기도 대변인 한선지 경기도청방송국 주무관과 4명의 청년대표가 참석해 취업 과 일자리 결혼 등 다양한 청년 정책에 대한 토론이 진행됐다. 위 영상은 경기도 청년 토론회를 요약하여 담고 있다. 촬영 조성진 박용근 연출 편집 홍성민 기자 주최 주관 오마이뉴스
